,name,lat,long,rain,temp
28,ศรีสำโรง สกษ.,"{'Value': '17.161361111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '99.86166666666666666666666667', 'Unit': 'decimal degree'}",3.7,25.5
29,ตาก,"{'Value': '16.878333333333333333333333334', 'Unit': 'decimal degree'}","{'Value': '99.14333333333333333333333333', 'Unit': 'decimal degree'}",0.3,26.0
30,แม่สอด,"{'Value': '16.659166666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '98.55083333333333333333333333', 'Unit': 'decimal degree'}",8.5,26.5
31,เขื่อนภูมิพล,"{'Value': '17.243888888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '99.0025', 'Unit': 'decimal degree'}",16.2,26.2
32,ดอยมูเซอร์ สกษ.,"{'Value': '16.75', 'Unit': 'decimal degree'}","{'Value': '98.93333333333333333333333333', 'Unit': 'decimal degree'}",25.1,22.3
33,อุ้มผาง,"{'Value': '16.024722222222222222222222223', 'Unit': 'decimal degree'}","{'Value': '98.86444444444444444444444444', 'Unit': 'decimal degree'}",19.1,22.7
34,พิษณุโลก,"{'Value': '16.794805555555555555555555555', 'Unit': 'decimal degree'}","{'Value': '100.27930555555555555555555556', 'Unit': 'decimal degree'}",58.8,25.5
35,เพชรบูรณ์,"{'Value': '16.433333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '101.15', 'Unit': 'decimal degree'}",9.0,25.9
36,หล่มสัก,"{'Value': '16.773611111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '101.24944444444444444444444444', 'Unit': 'decimal degree'}",8.4,25.3
37,วิเชียรบุรี,"{'Value': '15.657', 'Unit': 'decimal degree'}","{'Value': '101.108', 'Unit': 'decimal degree'}",15.1,25.7
38,กำแพงเพชร,"{'Value': '16.486805555555555555555555555', 'Unit': 'decimal degree'}","{'Value': '99.52697222222222222222222223', 'Unit': 'decimal degree'}",5.0,26.2
39,ขอนแก่น,"{'Value': '16.461111111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '102.78972222222222222222222222', 'Unit': 'decimal degree'}",54.6,25.0
40,ท่าพระ สกษ.,"{'Value': '16.333333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '102.81666666666666666666666667', 'Unit': 'decimal degree'}",14.6,25.6
41,มุกดาหาร,"{'Value': '16.541388888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '104.72888888888888888888888889', 'Unit': 'decimal degree'}",5.1,25.5
42,พิจิตร สกษ.,"{'Value': '16.338777777777777777777777777', 'Unit': 'decimal degree'}","{'Value': '100.36711111111111111111111111', 'Unit': 'decimal degree'}",22.3,26.5
43,มหาสารคาม,"{'Value': '16.247222222222222222222222222', 'Unit': 'decimal degree'}","{'Value': '103.06805555555555555555555556', 'Unit': 'decimal degree'}",33.7,25.5
44,กาฬสินธุ์,"{'Value': '16.332027777777777777777777778', 'Unit': 'decimal degree'}","{'Value': '103.58752777777777777777777777', 'Unit': 'decimal degree'}",15.2,25.9
45,อำนาจเจริญ,"{'Value': '15.90375', 'Unit': 'decimal degree'}","{'Value': '104.61805555555555555555555556', 'Unit': 'decimal degree'}",5.6,24.3
